file_names,Class
1591_PineM-2018_Unknown-sp3@Sanjiao_Chorus_event_0.wav,croaks
1591_PineM-2018_Unknown-sp4@A5_Chorus_event_0.wav,croaks
1643_RountreeR-2017_Aplodinotus-grunniens_Drum-Call-1_event_0.wav,drum call
1643_RountreeR-2017_Aplodinotus-grunniens_Drum-Call-2_event_0.wav,drum call
1643_RountreeR-2017_Aplodinotus-grunniens_Drum-Call-3_event_0.wav,drum call
1643_RountreeR-2017_Aplodinotus-grunniens_Drum-Call-Chorus_event_0.wav,composite
1680_ParsonsM-2017_Unknown-sp_Chorus_event_0.wav,invalid
1706_ParsonsM-2016_Protonibea-diacanthus_Chorus_event_0.wav,croaks
1706_ParsonsM-2016_Protonibea-diacanthus_Chorus_event_1.wav,croaks
1706_ParsonsM-2016_Unknown-sp_Single-Call-1_event_0.wav,invalid
1706_ParsonsM-2016_Unknown-sp_Single-Call-1_event_1.wav,hums
1706_ParsonsM-2016_Unknown-sp_Single-Call-1_event_2.wav,invalid
1706_ParsonsM-2016_Unknown-sp_Single-Call-2_event_0.wav,hums
1706_ParsonsM-2016_Unknown-sp_Single-Call-2_event_1.wav,invalid
1706_ParsonsM-2016_Unknown-sp_Single-Call-2_event_2.wav,hums
1706_ParsonsM-2016_Unknown-sp_Single-Call-2_event_3.wav,hums
1726_CasarettoL-2016_Melanogrammus-aeglefinus_Juvenile-Sound-1_event_0.wav,knocks
1726_CasarettoL-2016_Melanogrammus-aeglefinus_Juvenile-Sound-2_event_0.wav,knocks
1726_CasarettoL-2016_Melanogrammus-aeglefinus_Knock_event_0.wav,knocks
1811_CasarettoL-2015_Melanogrammus-aeglefinus_Male-Call_event_0.wav,knocks
1837_StaatermanE-2014_Lutjanus-griseus_Knock_event_0.wav,knock
1837_StaatermanE-2014_Lutjanus-griseus_Knock_event_1.wav,knock
1837_StaatermanE-2014_Lutjanus-griseus_Knock_event_2.wav,knocks
1837_StaatermanE-2014_Lutjanus-griseus_Larvae-Growl_Field_event_0.wav,growls
1837_StaatermanE-2014_Lutjanus-griseus_Larvae-Growl_Tank_event_0.wav,growls
1837_StaatermanE-2014_Lutjanus-griseus_Larvae-Knock_Field_event_0.wav,knocks
1837_StaatermanE-2014_Lutjanus-griseus_Larvae-Knock_Tank_event_0.wav,knocks
1903_StaatermanE-2014_Unknown-sp_Growl-Thump_Sand-Island_event_0.wav,thump
1903_StaatermanE-2014_Unknown-sp_Growl-Thump_Sand-Island_event_1.wav,thump
1903_StaatermanE-2014_Unknown-sp_Percussive-Sound_Pickles_event_0.wav,knocks
1912_CasarettoL-2014_Melanogrammus-aeglefinus_Knock_Tank_event_0.wav,knocks
1912_CasarettoL-2014_Melanogrammus-aeglefinus_Knock_Wild_event_0.wav,knocks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category2_event_0.wav,grunt
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_0.wav,grunt
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_1.wav,grunt
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_10.wav,grunt
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_100.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_101.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_102.wav,grunts
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_103.wav,grunts
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_104.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_11.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_12.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_13.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_14.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_15.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_16.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_17.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_18.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_19.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_2.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_20.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_21.wav,knock
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_22.wav,knocks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_23.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_24.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_25.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_26.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_27.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_28.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_29.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_3.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_30.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_31.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_32.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_33.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_34.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_35.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_36.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_37.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_38.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_39.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_4.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_40.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_41.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_42.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_43.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_44.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_45.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_46.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_47.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_48.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_49.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_5.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_50.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_51.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_52.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_53.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_54.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_55.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_56.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_57.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_58.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_59.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_6.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_60.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_61.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_62.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_63.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_64.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_65.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_66.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_67.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_68.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_69.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_7.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_70.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_71.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_72.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_73.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_74.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_75.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_76.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_77.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_78.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_79.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_8.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_80.wav,croaks
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_81.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_82.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_83.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_84.wav,composite
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_85.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_86.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_87.wav,grunt
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_88.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_89.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_9.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_90.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_91.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_92.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_93.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_94.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_95.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_96.wav,croak
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_97.wav,grunt
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_98.wav,invalid
1942_ParsonsM-2013_Argyrosomus-japonicus_Category3_event_99.wav,croak
1948_ParsonsM-2013_Glaucosoma-hebraicum_Knock-1_event_0.wav,knocks
1948_ParsonsM-2013_Glaucosoma-hebraicum_Knock-2_event_0.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Chorus_event_0.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Irregular_event_0.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Irregular_event_1.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Irregular_event_2.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Irregular_event_3.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Irregular_event_4.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Irregular_event_5.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_0.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_1.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_10.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_11.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_12.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_13.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_14.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_15.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_16.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_17.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_18.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_2.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_3.wav,invalid
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_4.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_5.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_6.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_7.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_8.wav,knocks
1984_PicciulinM-2013_Diagnostics_Sciaena-umbra_Regular_event_9.wav,invalid
2150_RountreeR-2010_Brosme-Brosme_Composite-Call-1_event_0.wav,invalid
2150_RountreeR-2010_Brosme-Brosme_Composite-Call-2_event_0.wav,invalid
2249_AmorimC-2008_Pseudotropheus-emmiltos_Growl_event_0.wav,knocks
2249_AmorimC-2008_Pseudotropheus-fainzilberi_Growl_event_0.wav,knocks
2674_BolganM-2018_Salvelinus-alpinus_FRT_event_0.wav,quack
3000_RieraA-2020_Anoplopoma-fimbria_Rasp-Tick_Constant_event_0.wav,drum call
3000_RieraA-2020_Anoplopoma-fimbria_Rasp-Tick_High-Variation_event_0.wav,knocks
3000_RieraA-2020_Anoplopoma-fimbria_Rasp-Tick_Increasing_event_0.wav,knock
3000_RieraA-2020_Anoplopoma-fimbria_Rasp-Tick_Short_event_0.wav,imp
3001_BolganM-2019_Unknown-sp_Kwa_event_0.wav,croaks
3002_PicciulinM-2019_Ophidion-rochei_Snap_event_0.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_0.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_1.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_10.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_11.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_12.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_13.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_14.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_15.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_16.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_17.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_18.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_19.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_2.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_20.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_21.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_22.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_3.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_4.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_5.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_6.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_7.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_8.wav,knocks
3003_BolganM-2020_Umbrina-cirrosa_Low-Frequency-Pulse_event_9.wav,knocks
"3004,3006_StolkinR-2007_Ophidion-marginatum_Jackhammer-Chorus-1_event_0.wav",invalid
"3004,3006_StolkinR-2007_Ophidion-marginatum_Jackhammer-Chorus-2_CH2_event_0.wav",knocks
3007_DiIorioL-2018_Unknown-sp_Kwa-Chorus_event_0.wav,croaks
3007_DiIorioL-2018_Unknown-sp_Kwa-Chorus_event_1.wav,croaks
3007_DiIorioL-2018_Unknown-sp_Kwa-Chorus_event_2.wav,croak
3007_DiIorioL-2018_Unknown-sp_Kwa-Chorus_event_3.wav,croak
3007_DiIorioL-2018_Unknown-sp_Kwa-Chorus_event_4.wav,croak
3151_CarriccoR-2019_Unknown-sp_Sound12_event_0.wav,invalid
3151_CarriccoR-2019_Unknown-sp_Sound15_event_0.wav,knock
3151_CarriccoR-2019_Unknown-sp_Sound1_event_0.wav,invalid
3151_CarriccoR-2019_Unknown-sp_Sound4_event_0.wav,knocks
3151_CarriccoR-2019_Unknown-sp_Sound5_event_0.wav,croak
3151_CarriccoR-2019_Unknown-sp_Sound7_event_0.wav,croaks
3179_PereiraB-2020_Argyrosomus-regius_Adult-Distress-Sound_event_0.wav,croak
3179_PereiraB-2020_Argyrosomus-regius_Adult-Social-Sound_event_0.wav,croak
3179_PereiraB-2020_Argyrosomus-regius_Field-Sound_event_0.wav,croak
3179_PereiraB-2020_Argyrosomus-regius_Juvenile-Distress-Sound_event_0.wav,grunt
3179_PereiraB-2020_Argyrosomus-regius_Juvenile-Social-Sound_event_0.wav,croak
3214_HallidayB-2018_Porichthys-notatus_Growl-Grunt-Hum_event_0.wav,invalid
3214_HallidayB-2018_Porichthys-notatus_Growl-Grunt-Hum_event_1.wav,invalid
3214_HallidayB-2018_Porichthys-notatus_Growl-Grunt-Hum_event_2.wav,quack
3214_HallidayB-2018_Porichthys-notatus_Growl-Grunt-Hum_event_3.wav,invalid
3214_HallidayB-2018_Porichthys-notatus_Growl-Grunt-Hum_event_4.wav,invalid
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_0.wav,grunt
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_1.wav,grunt
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_2.wav,grunts
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_3.wav,grunt
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_4.wav,grunt
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_5.wav,invalid
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_6.wav,grunt
3214_HallidayB-2018_Porichthys-notatus_Grunt_event_7.wav,grunt
3214_HallidayB-2018_Porichthys-notatus_Hum-1_event_0.wav,invalid
3214_HallidayB-2018_Porichthys-notatus_Hum-2_event_0.wav,invalid
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_0.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_1.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_10.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_11.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_12.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_13.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_14.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_15.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_16.wav",invalid
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_17.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_18.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_19.wav",invalid
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_2.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_20.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_21.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_22.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_23.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_3.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_4.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_5.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_6.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_7.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_8.wav",hums
"324,1806,etc_AmorimC-2008_Halobatrachus-didactylus_Boatwhistle_event_9.wav",hums
"324,2311_AmorimC-2008_Halobatrachus-didactylus_Croak_event_0.wav",croak
3346_RaickX-2020_Serrasalmus-marginatus_Sound_event_0.wav,croak
3346_RaickX-2020_Serrasalmus-marginatus_Sound_event_1.wav,croak
3346_RaickX-2020_Serrasalmus-marginatus_Sound_event_2.wav,croak
3346_RaickX-2020_Serrasalmus-marginatus_Sound_event_3.wav,croak
3346_RaickX-2020_Serrasalmus-marginatus_Sound_event_4.wav,croak
3350_RaickX-2020_Pygocentrus-cariba_Drum_event_0.wav,croak
3350_RaickX-2020_Pygocentrus-cariba_Drum_event_1.wav,drum
3350_RaickX-2020_Pygocentrus-cariba_Drum_event_2.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_0.wav,composite
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_1.wav,croak
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_10.wav,invalid
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_11.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_12.wav, drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_13.wav,invalid
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_14.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_15.wav,invalid
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_16.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_17.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_2.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_3.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_4.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_5.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_6.wav,drum
3350_RaickX-2020_Pygocentrus-nattereri_Drum_event_7.wav,drum
